,name of dissemination case,number of bikes,duration,name of map,seed
77,SimulationMode.K_ONE,16,9006,Mapsize.MEDIUM,11
78,SimulationMode.K_TWO,16,6992,Mapsize.MEDIUM,11
79,SimulationMode.K_TREE,16,9377,Mapsize.MEDIUM,11
80,SimulationMode.K_ZERO,20,8398,Mapsize.MEDIUM,11
81,SimulationMode.K_ONE,20,7765,Mapsize.MEDIUM,11
82,SimulationMode.K_TWO,20,6547,Mapsize.MEDIUM,11
83,SimulationMode.K_TREE,20,9828,Mapsize.MEDIUM,11
84,SimulationMode.K_ZERO,25,7477,Mapsize.MEDIUM,11
85,SimulationMode.K_ONE,25,4579,Mapsize.MEDIUM,11
86,SimulationMode.K_TWO,25,4272,Mapsize.MEDIUM,11
87,SimulationMode.K_TREE,25,5786,Mapsize.MEDIUM,11
88,SimulationMode.K_ZERO,2,undetermined,Mapsize.MEDIUM,12
89,SimulationMode.K_ONE,2,undetermined,Mapsize.MEDIUM,12
90,SimulationMode.K_TWO,2,undetermined,Mapsize.MEDIUM,12
91,SimulationMode.K_TREE,2,undetermined,Mapsize.MEDIUM,12
92,SimulationMode.K_ZERO,3,undetermined,Mapsize.MEDIUM,12
93,SimulationMode.K_ONE,3,undetermined,Mapsize.MEDIUM,12
94,SimulationMode.K_TWO,3,undetermined,Mapsize.MEDIUM,12
