,name of dissemination case,number of bikes,duration,name of map,seed
0,SimulationMode.K_ZERO,2,44750,Mapsize.SMALL,11
1,SimulationMode.K_ONE,2,34237,Mapsize.SMALL,11
2,SimulationMode.K_TWO,2,28722,Mapsize.SMALL,11
3,SimulationMode.K_TREE,2,49654,Mapsize.SMALL,11
