,name of dissemination case,number of bikes,name of map,seed,collective data collection in area,collected by bike_,Percentage belonging to bike,size of subarea (# edges),size of total map (# edges)
64,SimulationMode.K_ZERO,8,Mapsize.SMALL,11,239,43,18.0,44,302
65,SimulationMode.K_ONE,8,Mapsize.SMALL,11,241,44,18.3,44,302
66,SimulationMode.K_TWO,8,Mapsize.SMALL,11,249,44,17.7,44,302
67,SimulationMode.K_TREE,8,Mapsize.SMALL,11,253,44,17.4,44,302
68,SimulationMode.K_ZERO,10,Mapsize.SMALL,11,292,44,15.1,44,302
69,SimulationMode.K_ONE,10,Mapsize.SMALL,11,300,44,14.7,44,302
70,SimulationMode.K_TWO,10,Mapsize.SMALL,11,305,44,14.4,44,302
71,SimulationMode.K_TREE,10,Mapsize.SMALL,11,297,44,14.8,44,302
72,SimulationMode.K_ZERO,12,Mapsize.SMALL,11,347,44,12.7,44,302
73,SimulationMode.K_ONE,12,Mapsize.SMALL,11,340,44,12.9,44,302
74,SimulationMode.K_TWO,12,Mapsize.SMALL,11,356,44,12.4,44,302
75,SimulationMode.K_TREE,12,Mapsize.SMALL,11,373,44,11.8,44,302
76,SimulationMode.K_ZERO,16,Mapsize.SMALL,11,469,44,9.4,44,302
77,SimulationMode.K_ONE,16,Mapsize.SMALL,11,469,44,9.4,44,302
78,SimulationMode.K_TWO,16,Mapsize.SMALL,11,432,44,10.2,44,302
79,SimulationMode.K_TREE,16,Mapsize.SMALL,11,468,44,9.4,44,302
80,SimulationMode.K_ZERO,20,Mapsize.SMALL,11,566,44,7.8,44,302
81,SimulationMode.K_ONE,20,Mapsize.SMALL,11,559,44,7.9,44,302
82,SimulationMode.K_TWO,20,Mapsize.SMALL,11,560,44,7.9,44,302
83,SimulationMode.K_TREE,20,Mapsize.SMALL,11,580,44,7.6,44,302
84,SimulationMode.K_ZERO,25,Mapsize.SMALL,11,732,44,6.0,44,302
85,SimulationMode.K_ONE,25,Mapsize.SMALL,11,692,44,6.4,44,302
86,SimulationMode.K_TWO,25,Mapsize.SMALL,11,732,44,6.0,44,302
87,SimulationMode.K_TREE,25,Mapsize.SMALL,11,683,44,6.4,44,302
88,SimulationMode.K_ZERO,2,Mapsize.SMALL,12,72,44,61.1,44,302
89,SimulationMode.K_ONE,2,Mapsize.SMALL,12,64,43,67.2,44,302
90,SimulationMode.K_TWO,2,Mapsize.SMALL,12,72,43,59.7,44,302
91,SimulationMode.K_TREE,2,Mapsize.SMALL,12,65,43,66.2,44,302
92,SimulationMode.K_ZERO,3,Mapsize.SMALL,12,99,44,44.4,44,302
93,SimulationMode.K_ONE,3,Mapsize.SMALL,12,100,43,43.0,44,302
94,SimulationMode.K_TWO,3,Mapsize.SMALL,12,103,43,41.7,44,302
95,SimulationMode.K_TREE,3,Mapsize.SMALL,12,97,43,44.3,44,302
96,SimulationMode.K_ZERO,4,Mapsize.SMALL,12,135,44,32.6,44,302
97,SimulationMode.K_ONE,4,Mapsize.SMALL,12,122,44,36.1,44,302
98,SimulationMode.K_TWO,4,Mapsize.SMALL,12,131,43,32.8,44,302
99,SimulationMode.K_TREE,4,Mapsize.SMALL,12,124,43,34.7,44,302
100,SimulationMode.K_ZERO,5,Mapsize.SMALL,12,151,44,29.1,44,302
101,SimulationMode.K_ONE,5,Mapsize.SMALL,12,161,44,27.3,44,302
102,SimulationMode.K_TWO,5,Mapsize.SMALL,12,153,43,28.1,44,302
103,SimulationMode.K_TREE,5,Mapsize.SMALL,12,170,43,25.3,44,302
104,SimulationMode.K_ZERO,6,Mapsize.SMALL,12,180,43,23.9,44,302
105,SimulationMode.K_ONE,6,Mapsize.SMALL,12,195,44,22.6,44,302
106,SimulationMode.K_TWO,6,Mapsize.SMALL,12,195,44,22.6,44,302
107,SimulationMode.K_TREE,6,Mapsize.SMALL,12,197,44,22.3,44,302
108,SimulationMode.K_ZERO,8,Mapsize.SMALL,12,254,44,17.3,44,302
109,SimulationMode.K_ONE,8,Mapsize.SMALL,12,232,44,19.0,44,302
110,SimulationMode.K_TWO,8,Mapsize.SMALL,12,258,44,17.1,44,302
111,SimulationMode.K_TREE,8,Mapsize.SMALL,12,231,44,19.0,44,302
112,SimulationMode.K_ZERO,10,Mapsize.SMALL,12,293,44,15.0,44,302
113,SimulationMode.K_ONE,10,Mapsize.SMALL,12,315,44,14.0,44,302
114,SimulationMode.K_TWO,10,Mapsize.SMALL,12,311,44,14.1,44,302
115,SimulationMode.K_TREE,10,Mapsize.SMALL,12,286,44,15.4,44,302
116,SimulationMode.K_ZERO,12,Mapsize.SMALL,12,373,44,11.8,44,302
117,SimulationMode.K_ONE,12,Mapsize.SMALL,12,344,44,12.8,44,302
118,SimulationMode.K_TWO,12,Mapsize.SMALL,12,358,44,12.3,44,302
119,SimulationMode.K_TREE,12,Mapsize.SMALL,12,352,44,12.5,44,302
120,SimulationMode.K_ZERO,16,Mapsize.SMALL,12,447,44,9.8,44,302
121,SimulationMode.K_ONE,16,Mapsize.SMALL,12,457,44,9.6,44,302
