,Vehicle,Collected Roads,Connections
10,Kayne_11,"{'E70': 'E70', ' -E69': ' -E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' -E29': ' -E29', ' -E42': ' -E42', ' -E41': ' -E41', ' -E38': ' -E38', ' E40': ' E40', ' E50': ' E50', ' E51': ' E51', ' E52': ' E52', 'E98': 'E98', ' -E83': ' -E83', ' -E82': ' -E82', ' -E48': ' -E48', ' -E46': ' -E46', ' -E45': ' -E45', ' -E44': ' -E44', ' E19': ' E19', ' E20': ' E20', ' E43': ' E43', '-E69': '-E69', '-E68': '-E68', '-E66': '-E66', '-E65': '-E65', '-E64': '-E64', '-E29': '-E29', '-E42': '-E42', '-E41': '-E41', '-E38': '-E38', 'E40': 'E40', 'E50': 'E50', 'E51': 'E51', 'E52': 'E52'}","{'Amber_16': 3, 'Cassandra_5': 2}"
11,Shane_12,"{'-E84': '-E84', ' -E83': ' -E83', ' -E82': ' -E82', ' E49': ' E49', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', 'E31': 'E31', ' E32': ' E32', ' -E39': ' -E39', ' -E38': ' -E38', ' E40': ' E40', ' E50': ' E50', '-E83': '-E83', '-E82': '-E82', 'E49': 'E49', 'E53': 'E53', 'E54': 'E54', 'E55': 'E55', 'E56': 'E56', '-E40': '-E40'}","{'Fabio_4': 3, 'Dalton_1': 5, 'Janet_8': 4}"
12,Clayton_13,"{'E93': 'E93', ' E97': ' E97', ' E98': ' E98', ' -E83': ' -E83', 'E76': 'E76', ' -E63': ' -E63', ' E33': ' E33', ' E34': ' E34', ' E35': ' E35', ' -E30': ' -E30', ' E64': ' E64', 'E97': 'E97', 'E98': 'E98', '-E83': '-E83'}",{'Cassandra_5': 8}
13,Cody_14,"{'-E26': '-E26', '-E59': '-E59', ' -E58': ' -E58', ' -E57': ' -E57', ' -E49': ' -E49', ' -E48': ' -E48', ' -E46': ' -E46', ' -E45': ' -E45', ' -E44': ' -E44', ' -E18': ' -E18', ' -E17': ' -E17', ' -E16': ' -E16', ' -E15': ' -E15', ' -E14': ' -E14'}",{}
14,Adriana_15,"{'E77': 'E77', ' E78': ' E78', ' -E79': ' -E79', ' E71': ' E71', ' E70': ' E70', ' -E69': ' -E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' E30': ' E30', ' E31': ' E31', ' E32': ' E32', ' E36': ' E36', ' E37': ' E37', '-E80': '-E80', ' -E77': ' -E77', ' E90': ' E90', ' -E91': ' -E91', ' E60': ' E60', ' E61': ' E61', ' E33': ' E33', ' -E67': ' -E67', 'E78': 'E78', '-E79': '-E79', 'E71': 'E71', 'E70': 'E70', '-E69': '-E69', '-E68': '-E68', '-E66': '-E66', '-E65': '-E65', '-E64': '-E64', 'E30': 'E30', 'E31': 'E31', 'E32': 'E32', 'E36': 'E36', 'E37': 'E37'}","{'Jayson_20': 2, 'Leroy_9': 1, 'Claudia_19': 1}"
15,Amber_16,"{'E70': 'E70', ' -E69': ' -E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' -E29': ' -E29', ' -E13': ' -E13', ' -E12': ' -E12', ' E10': ' E10', ' E11': ' E11', ' E43': ' E43', ' E47': ' E47', ' E49': ' E49', ' E57': ' E57', '-E57': '-E57', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E39': ' E39', ' E36': ' E36', ' E37': ' E37', ' E63': ' E63', ' E72': ' E72', ' E73': ' E73', ' -E78': ' -E78', ' -E77': ' -E77', ' E90': ' E90', '-E69': '-E69', '-E68': '-E68', '-E66': '-E66', '-E65': '-E65', '-E64': '-E64', '-E29': '-E29', '-E13': '-E13', '-E12': '-E12', 'E10': 'E10', 'E11': 'E11', 'E43': 'E43', 'E47': 'E47', 'E49': 'E49', 'E57': 'E57'}","{'Kayne_11': 3, 'Claudia_19': 2, 'Alice_10': 19}"
16,Valerie_17,"{'E28': 'E28', ' E10': ' E10', ' E11': ' E11', ' E43': ' E43', ' E47': ' E47', ' E49': ' E49', ' E57': ' E57', ' E58': ' E58', ' E59': ' E59', ' E91': ' E91', ' E94': ' E94', ' E95': ' E95', 'E81': 'E81', ' E101': ' E101', ' E102': ' E102', ' E103': ' E103', ' E99': ' E99', ' E100': ' E100', ' E88': ' E88', ' E89': ' E89', ' -E81': ' -E81', ' -E80': ' -E80', ' E78': ' E78', ' -E79': ' -E79', 'E11': 'E11', 'E43': 'E43', 'E47': 'E47', 'E49': 'E49', 'E57': 'E57', 'E58': 'E58', 'E59': 'E59', 'E91': 'E91', 'E94': 'E94', 'E95': 'E95'}","{'Eden_7': 4, 'Aaryan_6': 3, 'Janet_8': 2, 'Dalton_1': 2}"
17,Owen_18,"{'-E90': '-E90', ' E77': ' E77', ' E78': ' E78', ' -E79': ' -E79', ' E71': ' E71', ' E74': ' E74', ' E75': ' E75', ' E76': ' E76', ' -E63': ' -E63', ' -E37': ' -E37', ' -E36': ' -E36', ' -E39': ' -E39', ' E41': ' E41', ' E42': ' E42', ' E29': ' E29', 'E46': 'E46', ' E48': ' E48', ' E82': ' E82', ' E83': ' E83', ' E84': ' E84', ' E85': ' E85', ' E86': ' E86', ' E87': ' E87', ' E88': ' E88', ' E89': ' E89', ' E101': ' E101', ' E102': ' E102', ' E103': ' E103', ' -E96': ' -E96', 'E77': 'E77', 'E78': 'E78', '-E79': '-E79', 'E71': 'E71', 'E74': 'E74', 'E75': 'E75', 'E76': 'E76', '-E63': '-E63', '-E37': '-E37', '-E36': '-E36', '-E39': '-E39', 'E41': 'E41', 'E42': 'E42', 'E29': 'E29'}","{'Jayson_20': 4, 'Claudia_19': 2}"
18,Claudia_19,"{'E74': 'E74', ' E75': ' E75', ' E76': ' E76', ' -E63': ' -E63', ' E33': ' E33', ' E34': ' E34', ' E35': ' E35', ' -E30': ' -E30', ' -E29': ' -E29', ' -E42': ' -E42', ' -E41': ' -E41', ' E39': ' E39', 'E87': 'E87', ' E88': ' E88', ' E89': ' E89', ' -E81': ' -E81', ' -E80': ' -E80', ' E78': ' E78', ' -E79': ' -E79', ' E71': ' E71', ' E70': ' E70', ' -E69': ' -E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' -E13': ' -E13', ' E14': ' E14', 'E75': 'E75', 'E76': 'E76', '-E63': '-E63', 'E33': 'E33', 'E34': 'E34', 'E35': 'E35', '-E30': '-E30', '-E29': '-E29', '-E42': '-E42', '-E41': '-E41', 'E39': 'E39'}","{'Alice_10': 4, 'Amber_16': 2, 'Owen_18': 2, 'Cassandra_5': 4, 'Adriana_15': 1}"
19,Jayson_20,"{'E79': 'E79', ' -E78': ' -E78', ' -E77': ' -E77', ' E90': ' E90', ' -E91': ' -E91', ' E60': ' E60', ' E61': ' E61', ' E33': ' E33', '-E67': '-E67', ' E68': ' E68', ' E69': ' E69', ' -E70': ' -E70', ' E74': ' E74', ' E75': ' E75', ' E76': ' E76', ' -E63': ' -E63', '-E78': '-E78', '-E77': '-E77', 'E90': 'E90', '-E91': '-E91', 'E60': 'E60', 'E61': 'E61', 'E33': 'E33'}","{'Adriana_15': 2, 'Owen_18': 4}"
